,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
R.E.I.T.,650,-0.0112,0.0323,0.07930000000000001,0.1669731518940787,0.485610214617168,0.6495248742314141,0.06236893611072277,0.08578987150415723,0.126983036896624,0.0641760032969674,0.06752358092304805,0.07840109884682278,0.7491978649183715,0.25,0.4372286541244573,0.5918195747225232,0.05970392061168049,0.3124888967845088
Real Estate (Development),879,-0.03759999999999999,0.05930000000000001,0.209,-0.08619246861924686,0.08092175777063237,0.2158013544018059,0.1053595968850206,0.2512935232983132,0.5282535617096207,0.0685333903029991,0.0758535468379462,0.07823644926842302,0.827552155912436,0.1120561343823092,0.4106951871657754,0.7159536797779692,0.4142739680973524,0.5959334565619223
Real Estate (General/Diversified),309,0.0178,0.0736,0.168,0.01161904761904762,0.153446033810143,0.3271362173757598,0.08183221821924858,0.1717803720063859,0.4400594756914623,0.06944009643811216,0.07364340957246779,0.0835728538695145,0.817377001223953,0.1186535242700391,0.4507969507969508,0.6511904761904762,0.4099531955432216,0.7240853658536586
Real Estate (Operations & Services),749,0.0234,0.0816,0.133,0.04144198151775543,0.2744860943168077,0.5676709708273554,0.06566164154103853,0.1144818119423473,0.5173463177115034,0.06836495232022036,0.07414937115132067,0.08216780652223193,0.7151929070084392,0.0190707530104915,0.3096671949286847,0.5900273868186989,0.42452597882295,0.6352691218130312
Recreation,320,0.0227,0.0717,0.139,-0.02114285714285714,0.06435506241331485,0.1460928652321631,0.6115937900583962,1.122429906542056,2.042821158690177,0.08454372793538013,0.08986644042308164,0.0926549032070566,1.004090340527191,0.03489839964165004,0.1673622704507513,0.4184874001071009,0.3230815467842116,0.5860375169212918
Reinsurance,33,0.0331,0.075,0.156,0.1134314903846154,0.1529037688207238,0.2439095127610209,0.9684276336355112,1.296103936056466,1.922069640864476,0.1007207046095276,0.1084292222039559,0.1193688387310139,1.222510498132245,0.00004594212243100365,0.05889115496461918,0.1844178702260416,0.156282814140707,0.3943298969072165
Restaurant/Dining,401,0.0381,0.07010000000000001,0.125,0.0006215765236778254,0.04403470715835141,0.08618396749168822,1.208322563970018,2.061150365526486,3.602803738317758,0.0820507101818729,0.08745031839973863,0.08992476131825143,0.728831477637815,0.08559276980329612,0.2554285714285714,0.4610778443113773,0.152100714304619,0.2899927316218258
Retail (Automotive),208,0.009490000000000002,0.0544,0.108,0.006834078415434963,0.02924463219127876,0.05715220349235843,1.298408637625249,2.487384980706441,4.070552147239263,0.0761304998429204,0.08126027036669453,0.09473388800366522,0.8136543079984765,0.1361916771752837,0.3502123095856885,0.6014150943396227,0.2356647763074984,0.4376
Retail (Building Supply),117,0.0114,0.0486,0.0819,0.01075268817204301,0.04589058854031631,0.1012197516524865,1.222376523799378,1.848504022417066,3.515074668920823,0.08513728587161926,0.0916353478932112,0.1054424890939501,0.9646312145173789,0.1117092866756393,0.2873471790200045,0.5093109869646183,0.368595825426945,0.6178806116033259
Retail (Distributors),1038,0.0148,0.04269999999999999,0.07950000000000002,0,0.03271333127460656,0.08278291501541171,0.7444089456869011,1.774758296315652,3.277265973254086,0.07219563814855148,0.07661994506724643,0.08764066074929254,0.7568314083954484,0.02399647758127247,0.1789659524809184,0.4305966910528655,0.2986592589363452,0.5114114779525815
Retail (General),253,0.0307,0.05930000000000001,0.103,0.002047471467914403,0.04230065239744716,0.0884647253530727,0.7369791666666667,1.722022865726446,3.251565762004176,0.08680465122155173,0.09277151348489059,0.09643787407339022,1.00262133073448,0.0825529754461182,0.2969543147208122,0.5932518086945386,0.1592482690405539,0.4309507286606523
Retail (Grocery and Food),204,0.0264,0.0481,0.0875,0.008217821782178218,0.03187147084053438,0.05071384233395407,2.210760845899351,3.207254873732237,4.573337769613834,0.06924579469179407,0.07281469288205047,0.08080222692691003,0.6206046424218857,0.0887078698101316,0.2992878407565233,0.455702280912365,0.2651075206691564,0.5706764938141616
Retail (REITs),121,0.0168,0.039,0.0682,0.3973509933774835,0.571076011846002,0.6652683097360601,0.07575162885626818,0.1031173842404549,0.1310819462227913,0.06718399376300564,0.07096991806431319,0.08099624144102628,0.9420159925156232,0.3414350628764662,0.4588334386186566,0.5473191046330037,0.290221554273525,0.4446999180973247
Retail (Special Lines),633,0.0146,0.05599999999999999,0.11,-0.001925192519251925,0.03729656419529837,0.08962264150943396,1.462978466292775,2.574310193618026,4.410917460209413,0.08690286184839173,0.09384511362839007,0.1013242597986624,0.9535011421857146,0.06536999776436396,0.2309389523520443,0.4832789234811689,0.4439813679823486,0.5614740082079345
Rubber& Tires,92,0.0277,0.08070000000000001,0.13,0.04254430637240762,0.07801253772927794,0.1166682915732345,1.057054983680643,1.431439555745408,1.870215207597038,0.08721326905258538,0.09924656296299406,0.1072310135105586,0.9830719695050654,0.06715442905670237,0.2246778964868102,0.5056810145679128,0.2220438253318559,0.4742031533716246
Semiconductor,665,0.0626,0.156,0.286,-0.1523456790123457,0.01852173913043478,0.1085982355412407,0.5697865353037768,0.9467451008354364,1.596578759800428,0.1246994068110819,0.1295443689642269,0.1309863130034401,1.655484948704496,0.006540484989552919,0.05516775839856082,0.19419699669127,0.2307692307692308,0.455307402258384
Semiconductor Equip,375,0.07519999999999999,0.172,0.283,-0.01429799916714895,0.07365345388389657,0.1756476683937824,0.5876602215946122,0.9485294117647061,1.499992622628389,0.1353151385096109,0.1434664098703845,0.1467937038659387,1.966726967212011,0.01356564469713391,0.08860759493670886,0.2800508131359503,0.05124947056332062,0.1706295691674356
Shipbuilding & Marine,357,0.0261,0.07490000000000001,0.11,0.04624757684851841,0.132,0.2511111111111111,0.3453292496171516,0.6311411913401558,1.1161373852414,0.08474547686832015,0.09096834288230203,0.1064453592736454,0.7763802854079904,0.07692307692307693,0.2629741587526083,0.4972324723247232,0.0654100751710984,0.1733181299885975
Shoe,82,0.0312,0.07830000000000001,0.125,-0.03153988868274583,0.0702846787618265,0.115572878897752,0.9183078045222466,1.436848686952897,1.862416107382551,0.08741955986401503,0.09077975126179873,0.1063275078494452,0.7473567233366637,0.01295622675440389,0.1170431211498973,0.2664373723394489,0.2547240480569283,0.4810030608519839
Software (Entertainment),311,0.0417,0.0993,0.166,-0.1331179321486268,0.03842857142857143,0.1404358353510896,1.191780821917808,2.564951183187159,6.656441717791412,0.1041633657628393,0.1109579774653532,0.1168447966983314,1.162721184090479,0.001667450510923939,0.03552174087182455,0.2267471091000503,0.131530837550503,0.3825658394619217
